order_id,customer_id,order_date,status,region_code,customer_id_missing,is_future_dated
1,150,2026-09-19 00:00:00,DELIVERED,CENTRAL,False,True
2,157,2026-09-29 00:00:00,SHIPPED,CENTRAL,False,True
3,346,2024-01-17 17:28:44,CANCELLED,WEST,False,False
4,361,2024-12-16 20:57:01,DELIVERED,WEST,False,False
5,556,2023-10-13 21:47:53,RETURNED,CENTRAL,False,False
6,77,2023-02-22 13:02:27,DELIVERED,NORTH,False,False
7,237,2024-10-02 00:00:00,SHIPPED,SOUTH,False,False
8,62,2025-02-24 15:05:23,DELIVERED,CENTRAL,False,False
9,17,2025-01-20 00:00:00,DELIVERED,NORTH,False,False
10,282,2023-01-26 23:35:45,SHIPPED,CENTRAL,False,False
11,184,2025-12-20 02:04:19,PLACED,SOUTH,False,False
12,540,2024-01-10 07:58:09,DELIVERED,WEST,False,False
13,416,2023-05-03 18:03:03,SHIPPED,SOUTH,False,False
14,83,2024-04-10 23:51:54,CANCELLED,NORTH,False,False
15,387,2023-05-26 05:57:05,PLACED,NORTH,False,False
16,512,2025-12-27 19:57:59,DELIVERED,EAST,False,False
17,98,2025-05-29 00:39:50,RETURNED,SOUTH,False,False
18,581,2023-11-25 10:11:56,PLACED,NORTH,False,False
19,557,2025-11-29 05:21:10,PLACED,EAST,False,False
20,148,2023-01-25 07:46:33,DELIVERED,WEST,False,False
21,578,2023-04-30 12:26:15,CANCELLED,WEST,False,False
22,340,2025-11-17 17:41:34,DELIVERED,NORTH,False,False
23,355,2025-02-16 00:00:00,DELIVERED,NORTH,False,False
24,407,2024-06-13 02:13:04,SHIPPED,EAST,False,False
25,365,2024-11-30 21:43:43,DELIVERED,SOUTH,False,False
26,390,2025-11-21 20:51:39,DELIVERED,SOUTH,False,False
27,158,2023-04-25 04:31:40,DELIVERED,SOUTH,False,False
28,110,2024-08-28 06:09:36,RETURNED,WEST,False,False
29,105,2024-07-13 02:41:48,SHIPPED,WEST,False,False
30,418,2025-05-15 05:54:25,PLACED,CENTRAL,False,False
31,333,2023-05-25 13:41:13,PLACED,WEST,False,False
32,573,2024-08-25 10:12:55,RETURNED,CENTRAL,False,False
33,390,2025-03-20 12:11:06,SHIPPED,EAST,False,False
34,172,2025-02-05 00:59:35,DELIVERED,WEST,False,False
35,253,2023-04-30 11:50:10,DELIVERED,CENTRAL,False,False
36,139,2023-10-31 18:33:58,RETURNED,EAST,False,False
37,338,2025-08-21 10:26:26,DELIVERED,CENTRAL,False,False
38,206,2023-07-31 11:05:17,SHIPPED,WEST,False,False
39,503,2024-05-10 18:18:52,DELIVERED,EAST,False,False
40,403,2024-08-07 04:21:28,RETURNED,SOUTH,False,False
